marital_status,application_mode,course,tuition_fees_up_to_date,scholarship_holder,debtor,age_at_enrollment,curricular_units_1st_sem_approved,curricular_units_1st_sem_grade,curricular_units_2nd_sem_approved,curricular_units_2nd_sem_grade,admission_grade,unemployment_rate,inflation_rate,gdp,target_binary,target_multiclass,target_raw
1,1,9556,1,0,0,21,6,11.73,5,12.45,137,6.4,1.1,0.5,0,2,Graduate
1,13,9119,1,0,0,20,5,15.55,4,10.34,130.7,6.8,1.8,1.32,0,2,Graduate
1,13,9853,1,1,1,24,3,10.91,1,10.8,168.3,10,1.9,-1.07,1,0,Dropout
1,13,9119,1,0,0,19,4,11.69,4,15.48,111.9,7.4,2.2,-1.08,0,2,Graduate
1,14,9147,1,0,1,27,2,10.13,2,11.84,177.7,9.4,2.4,0.08,1,0,Dropout
1,12,171,1,1,0,23,4,10.79,4,16.85,175.4,8.7,0.5,-0.18,0,2,Graduate
1,13,9853,1,1,0,23,5,14.33,4,10.56,113.2,8.7,1.7,0.44,0,2,Graduate
2,10,33,1,0,1,25,0,0,0,0,117.2,8.7,0.8,-0.68,1,0,Dropout
1,13,9003,1,1,0,20,4,10.74,5,15.11,130.4,4,1.8,-0.65,0,1,Enrolled
1,11,9556,1,1,1,22,5,15.85,6,16.66,170,7.3,2.3,1.37,0,2,Graduate
1,11,33,1,0,0,20,4,11.43,6,16.44,162,6.1,2.2,1.16,0,2,Graduate
1,14,171,1,1,0,19,4,15.37,4,16.34,158,4.5,0.9,-1.39,0,2,Graduate
1,12,9070,0,0,1,19,2,11.17,1,11.43,139.1,7.8,3.1,0.64,1,0,Dropout
1,17,9500,1,1,0,18,6,12.51,6,14.01,101.3,9.3,2,0.86,0,1,Enrolled
1,9,9853,1,0,0,20,6,16.36,5,13.62,144.1,6.2,1.6,-0.27,0,1,Enrolled
1,14,9130,1,0,0,26,1,10.58,0,0,181.8,10,0.6,0.87,1,0,Dropout
1,6,9147,1,0,0,23,6,16.72,6,15.5,148.5,9.6,3,-0.58,0,2,Graduate
1,6,33,1,0,1,21,4,10.09,4,12.68,177.7,8.6,1.5,0.17,0,1,Enrolled
1,2,9147,1,1,0,20,4,14.54,4,10.72,122.1,6.1,2.3,0.72,0,1,Enrolled
1,12,9003,1,0,0,18,6,13.61,4,14.89,128.6,8,0.8,1.28,0,2,Graduate
1,5,171,1,0,0,19,5,15.55,4,14.22,141.9,10.9,1.6,0.97,0,2,Graduate
1,10,9853,1,1,0,23,6,15.18,6,12.37,124.9,11.1,1.6,-0.01,0,2,Graduate
1,8,9500,1,0,0,20,3,12.59,0,0,186.6,11.4,2.7,0.53,1,0,Dropout
1,17,9991,1,0,0,23,4,10.6,5,10.39,142.9,10,3,-0.47,0,2,Graduate
1,17,9238,1,0,0,23,4,14.27,4,11.94,148.1,3.9,2.3,-0.17,0,1,Enrolled
