Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Target
1,1,5,9556,1,4,152.4,1,13,15,11,10,137.0,1,0,0,1,1,0,21,0,0,6,7,6,11.73,0,0,6,9,5,12.45,0,6.4,1.1,0.50,Graduate
1,13,6,9119,1,10,180.4,1,18,1,11,2,130.7,0,0,0,1,0,0,20,0,0,6,9,5,15.55,0,0,6,7,4,10.34,0,6.8,1.8,1.32,Graduate
1,13,3,9853,1,13,122.1,1,26,11,7,9,168.3,0,0,1,1,1,1,24,0,0,6,8,3,10.91,0,0,6,7,1,10.8,0,10.0,1.9,-1.07,Dropout
1,13,2,9119,0,13,143.1,1,8,28,1,8,111.9,1,0,0,1,0,0,19,0,0,6,6,4,11.69,0,0,6,8,4,15.48,0,7.4,2.2,-1.08,Graduate
1,14,2,9147,1,1,182.9,1,3,3,12,11,177.7,1,0,1,1,1,0,27,0,0,6,8,2,10.13,0,0,6,8,2,11.84,0,9.4,2.4,0.08,Dropout
1,12,4,171,1,15,143.4,1,20,1,2,1,175.4,0,0,0,1,0,1,23,0,0,6,8,4,10.79,0,0,6,7,4,16.85,0,8.7,0.5,-0.18,Graduate
1,13,6,9853,1,13,124.8,1,12,4,3,10,113.2,0,0,0,1,1,1,23,0,0,6,7,5,14.33,0,0,6,8,4,10.56,0,8.7,1.7,0.44,Graduate
2,10,4,33,1,12,157.2,1,25,9,7,3,117.2,0,0,1,1,0,0,25,0,0,6,8,0,0,0,0,6,7,0,0,0,8.7,0.8,-0.68,Dropout
1,13,6,9003,0,12,126.6,1,3,11,8,8,130.4,1,0,0,1,0,1,20,0,0,6,6,4,10.74,0,0,6,9,5,15.11,0,4.0,1.8,-0.65,Enrolled
1,11,6,9556,1,13,185.5,1,2,15,4,8,170.0,1,0,1,1,0,1,22,0,0,6,8,5,15.85,0,0,6,8,6,16.66,0,7.3,2.3,1.37,Graduate
